id_institucion,nombre,tipo,estatus,area,escolaridad,palabras_clave_ingreso,palabras_clave_egreso,openness,conscientiousness,extraversion,agreeableness,neuroticism
57c9f3,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
57c9f3,IMPARTICION DE JUSTICIA,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.95,0.6,0.5,0.2
57c9f3,TECNOLOGIAS DE INFORMACION,FEDERAL,VIGENTE,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,,,,0.9,0.8,0.4,0.6,0.4
57c9f3,PSICOLOGIA,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.8,0.8,0.6,0.9,0.3
57c9f3,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
57c9f3,ADMINISTRACION DE EMPRESAS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
57c9f3,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
57c9f3,COMERCIO INTERNACIONAL Y ADUANAS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.7,0.8,0.7,0.6,0.4
57c9f3,ADMINISTRACION DE EMPRESAS TURISTICAS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
5e124a,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
5e124a,INGENIERIA EN DESARROLLO DE SOFTWARE,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.9,0.8,0.4,0.6,0.4
5e124a,ARTE Y CINEMATOGRAFIA,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.93,0.63,0.57,0.62,0.52
5e124a,DISEÑO GRAFICO,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.9,0.7,0.5,0.6,0.5
5e124a,ODONTOLOGIA,FEDERAL,VIGENTE,SALUD,,,,0.5,0.9,0.6,0.7,0.3
5e124a,EDUCACION BILINGÜE,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
5e124a,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
5e124a,PSICOPEDAGOGIA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.8,0.8,0.6,0.9,0.3
5e124a,TECNOLOGIA EDUCATIVA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.9,0.8,0.6,0.7,0.4
5e124a,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
5e124a,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
5e124a,INGENIERIA EN DESARROLLO DE SOFTWARE,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.9,0.8,0.4,0.6,0.4
5e124a,ARTE Y CINEMATOGRAFIA,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.93,0.63,0.57,0.62,0.52
5e124a,DISEÑO GRAFICO,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.9,0.7,0.5,0.6,0.5
5e124a,ODONTOLOGIA,FEDERAL,VIGENTE,SALUD,,,,0.5,0.9,0.6,0.7,0.3
5e124a,EDUCACION BILINGÜE,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
5e124a,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
5e124a,PSICOPEDAGOGIA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.8,0.8,0.6,0.9,0.3
5e124a,TECNOLOGIA EDUCATIVA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.9,0.8,0.6,0.7,0.4
5e124a,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
630196,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
630196,IMPUESTOS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.5,0.9,0.4,0.5,0.3
0e565a,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
0e565a,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
0e565a,PSICOPEDAGOGIA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.8,0.8,0.6,0.9,0.3
0e565a,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
0e565a,INGENIERIA INDUSTRIAL Y DE SISTEMAS 4.0,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.8,0.9,0.6,0.6,0.3
0e565a,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
0e565a,ADMINISTRACION,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
0e565a,IMPUESTOS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.5,0.9,0.4,0.5,0.3
0e565a,COMERCIO INTERNACIONAL,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.7,0.8,0.7,0.6,0.4
51bc35,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
51bc35,ODONTOLOGIA,FEDERAL,VIGENTE,SALUD,,,,0.5,0.9,0.6,0.7,0.3
51bc35,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
51bc35,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
51bc35,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
51bc35,ADMINISTRACION,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
51bc35,IMPUESTOS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.5,0.9,0.4,0.5,0.3
0b4ae9,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
0b4ae9,PSICOPEDAGOGIA,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.8,0.8,0.6,0.9,0.3
0b4ae9,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
0b4ae9,GASTRONOMIA,FEDERAL,VIGENTE,ARTES Y HUMANIDADES,,,,0.7,0.8,0.7,0.7,0.4
0b4ae9,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
0b4ae9,ADMINISTRACION,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
0b4ae9,COMERCIO INTERNACIONAL,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.7,0.8,0.7,0.6,0.4
0b4ae9,IMPUESTOS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.5,0.9,0.4,0.5,0.3
2a6cc2,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
2a6cc2,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
2a6cc2,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
2a6cc2,INGENIERIA INDUSTRIAL EN MANTENIMIENTO,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.6,0.9,0.5,0.6,0.3
2a6cc2,INGENIERIA INDUSTRIAL EN MANTENIMIENTO (LICENCIATURA MIXTA),FEDERAL,VIGENTE,"INGENIERIA",licenciatura,,,0.6,0.9,0.5,0.6,0.3
2a6cc2,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
2a6cc2,ADMINISTRACION,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
2a6cc2,IMPUESTOS,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.5,0.9,0.4,0.5,0.3
aa4eee,DERECHO,FEDERAL,VIGENTE,CIENCIAS SOCIALES Y DERECHO,,,,0.6,0.9,0.7,0.4,0.29
aa4eee,EDUCACION,FEDERAL,VIGENTE,EDUCACIÓN,,,,0.73,0.79,0.76,0.79,0.39
aa4eee,INGENIERIA INDUSTRIAL Y DE SISTEMAS,FEDERAL,VIGENTE,"INGENIERIA",ingeniería,,,0.7,0.9,0.6,0.6,0.3
aa4eee,CONTADURIA,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.4,0.95,0.4,0.6,0.3
aa4eee,ADMINISTRACION,FEDERAL,VIGENTE,ADMINISTRACIÓN Y NEGOCIOS,,,,0.63,0.79,0.8,0.53,0.3
